epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.05,1.58497,1.29188,1.21738,0.73973,0.70923,0.73454,0.46486,1.32324,0.94293,1.10263,0.000475605,0.000475605,0.000475605
2,468.097,1.35172,0.94541,1.09027,0.76433,0.72619,0.75505,0.48569,1.28132,0.90412,1.07839,0.00093309,0.00093309,0.00093309
3,689.876,1.30998,0.90283,1.06625,0.77761,0.7413,0.77165,0.50137,1.24737,0.86439,1.0596,0.00137171,0.00137171,0.00137171
4,910.805,1.27949,0.87117,1.05135,0.78276,0.75664,0.78879,0.52156,1.20853,0.8389,1.044,0.00134412,0.00134412,0.00134412
5,1131.72,1.24569,0.83737,1.03734,0.79816,0.75273,0.79367,0.52396,1.199,0.82147,1.03497,0.00131582,0.00131582,0.00131582
6,1363.15,1.23273,0.82139,1.02769,0.81617,0.77075,0.81056,0.53974,1.18039,0.79902,1.01907,0.00128753,0.00128753,0.00128753
7,1587.16,1.21658,0.80614,1.02168,0.81694,0.77166,0.81435,0.54883,1.16196,0.77957,1.01591,0.00125923,0.00125923,0.00125923
8,1808.45,1.19989,0.78933,1.01316,0.8242,0.77629,0.81889,0.55202,1.15388,0.76382,1.01273,0.00123094,0.00123094,0.00123094
9,2029.16,1.19381,0.78216,1.01008,0.81635,0.78077,0.81928,0.55664,1.14146,0.75757,1.0065,0.00120265,0.00120265,0.00120265
10,2249.89,1.1754,0.76665,1.00425,0.83104,0.7805,0.82608,0.5612,1.12938,0.74451,0.9996,0.00117435,0.00117435,0.00117435
11,2470.68,1.17576,0.76295,1.00326,0.82689,0.78226,0.82558,0.56226,1.13077,0.74186,1.0005,0.00114606,0.00114606,0.00114606
12,2691.73,1.16473,0.75382,0.9993,0.83296,0.78454,0.82964,0.56683,1.1234,0.73573,0.99873,0.00111776,0.00111776,0.00111776
13,2916.48,1.15819,0.74709,0.99642,0.83205,0.78698,0.83397,0.57333,1.10987,0.72257,0.99097,0.00108947,0.00108947,0.00108947
14,3145.07,1.15591,0.74287,0.9917,0.83483,0.7851,0.83146,0.5668,1.12088,0.7347,0.99566,0.00106118,0.00106118,0.00106118
15,3369.23,1.14821,0.73688,0.99038,0.84443,0.79062,0.84026,0.57804,1.1008,0.70953,0.98729,0.00103288,0.00103288,0.00103288
16,3603.74,1.14065,0.73066,0.98683,0.84154,0.79072,0.83937,0.57621,1.11107,0.71436,0.98715,0.00100459,0.00100459,0.00100459
17,3840.71,1.13663,0.72556,0.98631,0.83308,0.79779,0.83691,0.57652,1.09747,0.70933,0.98594,0.000976293,0.000976293,0.000976293
18,4077.56,1.13062,0.71795,0.9826,0.84291,0.79738,0.84248,0.58145,1.09349,0.69921,0.98261,0.000947999,0.000947999,0.000947999
19,4316,1.12223,0.70974,0.97787,0.84929,0.79833,0.84686,0.58685,1.08524,0.69525,0.97746,0.000919704,0.000919704,0.000919704
20,4551.88,1.12464,0.71026,0.97662,0.84946,0.79796,0.8466,0.58687,1.08621,0.69738,0.97867,0.00089141,0.00089141,0.00089141
21,4785.51,1.11842,0.70781,0.97727,0.84893,0.80106,0.84808,0.58801,1.08653,0.69268,0.97902,0.000863116,0.000863116,0.000863116
22,5016.09,1.11252,0.70221,0.97382,0.84583,0.80153,0.84605,0.58894,1.07919,0.68825,0.97718,0.000834822,0.000834822,0.000834822
23,5246.02,1.10934,0.69645,0.97238,0.84749,0.80361,0.84945,0.59193,1.07532,0.68261,0.97408,0.000806528,0.000806528,0.000806528
24,5474.31,1.10903,0.69591,0.97117,0.85264,0.80614,0.85207,0.59398,1.0768,0.6785,0.97509,0.000778233,0.000778233,0.000778233
25,5700.94,1.09986,0.6877,0.9679,0.84844,0.80772,0.85054,0.59262,1.07282,0.67769,0.97197,0.000749939,0.000749939,0.000749939
26,5929.08,1.0981,0.68478,0.96701,0.8566,0.80487,0.85158,0.59505,1.07275,0.67702,0.97235,0.000721645,0.000721645,0.000721645
27,6155.04,1.09046,0.67757,0.9652,0.84894,0.8084,0.85249,0.59671,1.07024,0.67445,0.97042,0.000693351,0.000693351,0.000693351
28,6377.1,1.0888,0.67682,0.96252,0.85466,0.80683,0.85225,0.59627,1.06638,0.67222,0.96976,0.000665057,0.000665057,0.000665057
29,6597.79,1.08601,0.67109,0.96012,0.85366,0.80957,0.85386,0.59895,1.06491,0.67066,0.96957,0.000636762,0.000636762,0.000636762
30,6818.83,1.08542,0.67237,0.96148,0.85394,0.81135,0.85571,0.60054,1.06038,0.66559,0.96725,0.000608468,0.000608468,0.000608468
31,7039.85,1.07824,0.66582,0.95841,0.85862,0.81024,0.85607,0.60068,1.06161,0.6651,0.96785,0.000580174,0.000580174,0.000580174
32,7260.74,1.07673,0.66457,0.9572,0.85661,0.81138,0.85509,0.59913,1.0581,0.66698,0.9688,0.00055188,0.00055188,0.00055188
33,7480.84,1.06682,0.65412,0.95254,0.85606,0.8117,0.85749,0.60392,1.05857,0.6594,0.96775,0.000523586,0.000523586,0.000523586
